"COM";"Région";"Commune";"PTOT";"Médecin généraliste";"Masseur kinésithérapeute";"Pédicure-podologue";"Diététicien";"LIBGEO";"Boulodrome";"Tennis";"Athlétisme";"Plateaux et terrains de jeux extérieurs";"Salles spécialisées";"Terrains de grands jeux";"Salles de combat";"Salles de remise en forme";"Salles multisports (gymnase)"
"38229";"Auvergne-Rhône-Alpes";"Meylan";"18922";"30";"63";"7";"7";"Meylan";"3";"5";"3";"10";"6";"6";"3";"3";"7"
"38317";"Auvergne-Rhône-Alpes";"Le Pont-de-Claix";"10891";"9";"8";"4";"0";"Le Pont-de-Claix";"3";"2";"1";"4";"3";"4";"1";"1";"2"
"38382";"Auvergne-Rhône-Alpes";"Saint-Égrève";"17216";"13";"35";"4";"4";"Saint-Égrève";"2";"2";"1";"7";"3";"3";"1";"4";"6"
"38474";"Auvergne-Rhône-Alpes";"Sassenage";"11863";"10";"13";"2";"0";"Sassenage";"2";"1";"1";"1";"3";"4";"2";"2";"5"
"38485";"Auvergne-Rhône-Alpes";"Seyssinet-Pariset";"11884";"15";"30";"2";"2";"Seyssinet-Pariset";"1";"2";"2";"5";"4";"1";"3";"3";"3"
"38553";"Auvergne-Rhône-Alpes";"Villefontaine";"19333";"22";"8";"5";"0";"Villefontaine";"1";"3";"2";"11";"6";"4";"3";"3";"4"
"38565";"Auvergne-Rhône-Alpes";"Voreppe";"10137";"9";"15";"1";"2";"Voreppe";"2";"1";"0";"2";"1";"1";"0";"0";"2"
"39300";"Bourgogne-Franche-Comté";"Lons-le-Saunier";"17887";"20";"21";"7";"3";"Lons-le-Saunier";"3";"3";"2";"5";"4";"3";"2";"1";"5"
"40046";"Nouvelle-Aquitaine";"Biscarrosse";"14909";"15";"31";"8";"3";"Biscarrosse";"2";"3";"1";"4";"0";"2";"1";"1";"2"
"40279";"Nouvelle-Aquitaine";"Saint-Paul-lès-Dax";"14778";"9";"44";"5";"2";"Saint-Paul-lès-Dax";"1";"1";"0";"2";"2";"4";"0";"3";"3"
"40281";"Nouvelle-Aquitaine";"Saint-Pierre-du-Mont";"10236";"9";"32";"4";"0";"Saint-Pierre-du-Mont";"0";"1";"0";"1";"1";"1";"1";"1";"1"
"40312";"Nouvelle-Aquitaine";"Tarnos";"13225";"15";"31";"4";"6";"Tarnos";"1";"2";"2";"2";"2";"4";"1";"1";"4"
"41194";"Centre-Val de Loire";"Romorantin-Lanthenay";"18569";"16";"10";"7";"2";"Romorantin-Lanthenay";"3";"2";"1";"1";"5";"6";"2";"4";"6"
"41269";"Centre-Val de Loire";"Vendôme";"16377";"16";"10";"9";"3";"Vendôme";"2";"3";"1";"5";"2";"4";"1";"3";"6"
"42005";"Auvergne-Rhône-Alpes";"Andrézieux-Bouthéon";"10340";"24";"13";"2";"0";"Andrézieux-Bouthéon";"5";"2";"1";"1";"5";"3";"2";"4";"4"
"42044";"Auvergne-Rhône-Alpes";"Le Chambon-Feugerolles";"12148";"6";"8";"2";"0";"Le Chambon-Feugerolles";"6";"2";"1";"2";"2";"3";"1";"1";"2"
"42095";"Auvergne-Rhône-Alpes";"Firminy";"17297";"14";"26";"8";"4";"Firminy";"11";"3";"1";"9";"2";"7";"2";"3";"4"
"42147";"Auvergne-Rhône-Alpes";"Montbrison";"16635";"18";"27";"6";"4";"Montbrison";"4";"2";"2";"1";"4";"5";"1";"3";"2"
